name	id	cuisine	ingredients	type_of_dish1	recipes
Bannock	/m/0820mg	Scottish cuisine			
Char siew rice	/m/09kzzy	Singaporean cuisine			
Home fries	/m/09gnq8				
Corn crab soup	/m/09g7lh				
Tiffin	/m/0gpg2w				
Savoy Affair	/m/0h1ckc		Lime Juice,Fraise de Bois liqueur,Peach Brandy,Passion Fruit Juice		
Escamoles	/m/0gqfbh	Mexican			
Drunken noodles	/m/0dl21s	Thai			
Strawberry pie	/m/0dxqz7				
Dopiaza	/m/0d_x0p	Indian cuisine			
Gordita	/m/06d9tl	Mexican	Tortilla		
Xiaolongbao	/m/08jhp4	Chinese			
Egg bhurji	/m/07y_v2	Indian cuisine			
Char siu	/m/07s7dz	Chinese,Japanese Cuisine,Cuisine of Hong Kong		Barbecue	
Pongal	/m/08qy9j	Indian cuisine			
French toast	/m/017z01				
Arroz con pollo	/m/08wcf_	Mexican,Spanish Cuisine			Arroz con pollo
Casoncelli	/m/09gqg6c	Italian			
Vanillekipferl	/m/0988ty	Hungarian			
Pot-au-feu	/m/07pwpg	French			
Shepherd's pie	/m/01cs49	British Cuisine	Potato,Lamb	Pie	
Pumpkin pie	/m/01_3j6	American	Clove,Cinnamon,Shortening,Ginger,Flour,Nutmeg,Pumpkin	Dessert,Pie	
Turducken	/m/01_g9d	American	Turkey meat,Chicken meat,Duck meat		
Goulash	/m/01j75r	Hungarian,Jewish cuisine	Paprika		
Teppanyaki	/m/018kww	Japanese Cuisine			
Gamjatang	/m/0dgv00	Korean			
Nasi Dagang	/m/0f5jxq	Malaysian			
Salted duck egg	/m/0d0q11				
Gravy	/m/0lnyz	British Cuisine			
Stuffing	/m/020t4k				
Turshiya	/m/09yjj4	Turkish			
Steam kebab	/m/09v62br	Turkish			
Lemon liqueur	/m/09v3zmt	Italian			
Japanese curry	/m/08z2gl	Japanese Cuisine			
Ganache	/m/05b0gp	French			
Agrodolce	/m/03d06tc	Italian			
Calpis	/m/03t6f6	Japanese Cuisine			
Panjiri	/m/03npqws	Indian cuisine			
Arbroath Smokie	/m/04cwm2	Scottish cuisine	Haddock	Seafood,Smoked meat	
Egg roll	/m/04jm3v	Asian		Hors d'œuvre	
Stappj	/m/0crg5y	Italian			
Caboc	/m/0d0czh	Scottish cuisine			
Paris-Brest	/m/04yktqj	French	Whipped cream,Choux pastry	Pastry	
Licorice candy	/m/05zhrn				
Alexander II	/m/05t1zzs		Cream,Creme de cacao,Brandy		
Vienna Fingers	/m/04y5gz3			cookie	
Sohan	/m/05c1klz				
Crunk Juice	/m/05n1g08		Cognac,Red Bull		
Vispipuuro	/m/0dsdqgv				
Chicken soup	/m/0ckmp	Jewish cuisine	Chicken meat,Water,Vegetable	Soup	Elat Chicken Soup
Palmier	/m/09gfzr0	Spanish Cuisine			
Mafalde	/m/09ghxs3	Italian			
Seolleongtang	/m/09llzg	Korean			
Curry puff	/m/09jn47	Singaporean cuisine			
Osso buco	/m/08s95c	Italian			
Cannoli	/m/0b1lk	Italian			
Fagottini	/m/09gkyh0	Italian			
Lebkuchen	/m/020hpy	German			
Bo 7 Mon	/m/0clckl	Vietnamese			
Chun King	/m/0l8q14k				
Polish boy	/m/0fjmjf			Sandwich	
OpenCola Beverage	/m/0g5nyx8		Table sugar,Water,Sulphite ammonia caramel,Caffeine,Citric acid,Soda water,Gum arabic	Drink	OpenCola
Nantais	/m/04jpnst	French			
Baked Alaska	/m/03k77d			Dessert	
Churri	/m/03cfbh8	Indian cuisine			
Cervelat	/m/04pfxj	Swiss,German	Beef,Bacon,Pork	Sausage	
Rui-be	/m/03d4j0w	Japanese Cuisine			
Ajethna	/m/04g0ph3	Udupi cuisine			
Cuisine of Bihar	/m/07s3gn	Indian cuisine			
Taglierini	/m/09gb8by	Italian			
Jambalaya	/m/01_545	Louisiana Creole cuisine,Cajun	Celery,Tomato,Bell pepper,Rice,Pork,Onion		
Potato salad	/m/01cch6	German			
Truffade	/m/06y_vv	French			
Spam musubi	/m/0766x_	Japanese Cuisine			
Koottukari	/m/0csb4c	Indian cuisine			
Genoa salami	/m/0cjmb8	Italian			
Hopia	/m/0cbv7n	Filipino			
Sevan trout	/m/0dhlp4	Armenian			
Chewing gum	/m/01qcsb				
Kutia	/m/04fjm	Polish			
St. Catherine's taffy	/m/03d3kkn				
Karaoke Box	/m/04mvvl	Korean			
Blintz	/m/03dy6r	German,Jewish cuisine			
Lazarakia	/m/0415hv_	Greek	Yeast,Anise,Water,Salt,Ground cinnamon		
Naporitan	/m/03qkdt4	Japanese Cuisine			
Wappani	/m/03h3z1p	Japanese Cuisine			
Bay Breeze	/m/03ykhq5		Cranberry juice,Vodka,Pineapple Juice		
Pozole	/m/03ldyd	Mexican			
Ezogelin soup	/m/03c14tl	Turkish			
Sake kasu	/m/03whbkt	Japanese Cuisine			
Kesong puti	/m/03c1h0n	Filipino			
Sisig	/m/08gsst	Filipino			
Shaobing	/m/08dl6d	Chinese			
Mattha	/m/08d3r7	Indian cuisine			
Sunday roast	/m/019ctw	British Cuisine			
Halva	/m/018zsg	Turkish,Jewish cuisine,Indian cuisine,Lebanese			
Shabu-shabu	/m/03qt4l	Japanese Cuisine		Barbecue	
Indian Omelette	/m/03qm7wy	Indian cuisine			
Pionono	/m/043qy_b	Spanish Cuisine			
Pease pudding	/m/05hqv_	British Cuisine	Pea		
Teja	/m/062p8x	Spanish Cuisine			
Gummy candies	/m/051wbqj				
Snowball	/m/05n80rl		Bourbon whiskey,Tomato juice,Lemon juice		
Wrap roti	/m/05b_rpv				
Mollete	/m/0flt3t	Spanish Cuisine,Mexican			
Pissalat	/m/03cbzkj	French			
Curry paste	/m/03cbl9_	Indian cuisine			
Kakinada Khaja	/m/03d74pk				
Crispy fried chicken	/m/02r_4gm	Cuisine of Hong Kong	Chicken meat		
Beaten rice	/m/027z8f4	Indian cuisine			
Abbamele	/m/02wwpwq	Italian			
Confit	/m/07pnmj	French			
Prawn cocktail	/m/08m37j	Mexican	Shrimp		
'Ncrappiata	/m/07yj3mn	Apulian	Chicory,Onion,Caper,Vicia faba	Main course	'Ncrappiata alla martinese,'Ncrappiata classica
Duck confit	/m/0708sy	French			Duck Confit
Chicken Tikka	/m/074fbz	Indian cuisine			
Knackwurst	/m/079yjd	German	Pork,Garlic,Beef	Sausage	
Banh Chung	/m/0clcc9	Vietnamese	Glutinous rice,Mung bean		
Banchan	/m/0f3wg7	Korean			
Sannakji	/m/0dzr2d		Octopus		
Scrapple	/m/01r_dp				
Raclette	/m/01245r	French			
Hachis Parmentier	/m/0bxw7k	French			
Glogg	/m/024rr5		Akvavit,Sugar,Clove,Cardamom,Cinnamon,Brandy,Red Wine,Vodka		
Yakult	/m/022v32	Japanese Cuisine			
Kebab	/m/022n8y	Lebanese,Armenian,Indian cuisine	Lamb		
Wheatena	/m/026wvls				
Sfiha	/m/02rgjnz	Lebanese			
Zwiebelkuchen	/m/03ck38	German			
Fuzzy navel	/m/02p7217		Lemonade,Orange juice,Vodka,Peach schnapps		
Kalamay	/m/02x0sy7	Filipino			
Gazpacho	/m/037rw	Spanish Cuisine			
Bazlama	/m/026b576	Turkish			
Foie gras controversy	/m/02qy36d	French			
Pimm's Cup	/m/027mfjn		Apple,Pimm's,Strawberry,Lemonade,Ginger ale,Orange,Lemon,Mint		
Red Bean Rice	/m/02g8cb	Japanese Cuisine			
Pilaf	/m/02s819	Indian cuisine,Turkish,Armenian			
Re gan mian	/m/02fslx				
Earthquake	/m/02pxh01		Cognac,Absinthe		
Hollandaise sauce	/m/02xj0b	French			
Bandrek	/m/02z7b6x	Sundanese cuisine			
Neer dosa	/m/0g59y7	Udupi cuisine,Indian cuisine			
Manakish	/m/0fc_rc	Lebanese			
Tortelloni	/m/02p5772	Italian			
Phở	/m/02y17j	Vietnamese	Rice noodles	Noodle soup	
Coconut bar	/m/03ckzxm	Cuisine of Hong Kong			
Prosciutto	/m/037vsg	Italian			
Meatloaf	/m/020j3z	American	Ground beef,Pork,Lamb,Veal		
Amanatto	/m/024959	Japanese Cuisine			
Latte	/m/01nr56	Italian	Coffee	Drink	
Baguette	/m/01rrrx	French	T550 flour	Bread	
Beignet	/m/01wydv	French			
Caipiroska	/m/0gc319		Muscovado,Lime Juice,Vodka		
Egg Puffs	/m/05v7p2m	Cuisine of Hong Kong	Flour		
Bull Shot	/m/05n6klt		Vodka,Lemon juice,Beef bouillon	Cocktail	
Kreplach	/m/0573b7	Jewish cuisine	Potato,Ground meat	Dumpling	
Baked ziti	/m/0gkwsk				
Mickey Slim	/m/0hrkl		Gin,DDT		
Campari Tonic	/m/0j47j6g		Tonic water,Campari	Cocktail	
Brazilian Barbecue	/m/0jw9c87				
Permit room	/m/07b_cr	Indian cuisine			
Biga	/m/079fdw	Italian			
Doubles	/m/075y10				
Ayam goreng	/m/06bdv3	Singaporean cuisine			
Zoni soup	/m/07d8fz	Japanese Cuisine			
Meat and potato pie	/m/06j2tt				
Huevos divorciados	/m/06srnc	Mexican			
Flan	/m/0238fz	Spanish Cuisine		Dessert	
Candy corn	/m/013q6y				
Tortilla de patatas	/m/01d3ry	Spanish Cuisine			
Bhang	/m/01ppyt	Indian cuisine			
Jerky	/m/016dld	Cuisine of Hong Kong			
Lo mein	/m/09448n	Chinese	Wheat noodles	Main course	Mie Goreng
Bangers and mash	/m/09s3w	British Cuisine			
Es kacang hijau	/m/0dzxvn	Indonesian			
Muisjes	/m/07_58b				
Thüringer sausage	/m/06r6q5	German			
Buko pie	/m/02vmgqt	Filipino			
Bánh bèo	/m/03c9xkp	Vietnamese			
Istrian Stew	/m/026j3dq	Italian			
Butter chicken	/m/02w3c7	Indian cuisine			
Bagel	/m/01fb_0	German,Jewish cuisine	Water,Sesame seed,Poppy seed,Table salt,Wheat gluten	Bread	
Praline	/m/01j0r5	Bouchon			
Sazerac	/m/01qpb2		Syrup,Sazerac Rye Whiskey,Peychaud's Bitters,Absinthe		
Rhubarb and custard	/m/05v67vr		Rhubarb		
Chiccetti	/m/04ygw50	Italian			
Karsk	/m/02vs2h		Vodka,Moonshine,Coffee		
Red curry	/m/037lls	Thai	Coconut milk		
Karaage	/m/026j3tg	Japanese Cuisine			
Gelato	/m/02fz11	Italian			
Turrón	/m/026khh	Italian			
Mirchi Bada	/m/03c8hf8	Indian cuisine			
Swikee	/m/02q9l56	Indonesian			
Rusty Nail	/m/05n80l3		Drambuie,Scotch whisky		
Salty Dog	/m/05n2wqw		Vodka,Grapefruit juice		
Royal Widow	/m/05n80gs		Amaretto,Crown Royal		
Madame Elisabeth Brassart	/m/05zvp2v	French			
Khoa	/m/09w4_2	Indian cuisine			
Tangyuan	/m/09vbsy	Singaporean cuisine			
De Cecco	/m/09v3d91	Italian			
Nog-a-Sake	/m/05n4wg4		Eggnog,Sake		
Chocolate pudding	/m/055vs5		Chocolate		
Dal Bhat	/m/049xflb	Nepalese cuisine	Lentil,Rice	Soup	
Marshmallow creme	/m/03n1tj				
Ox-tongue pastry	/m/03m76cx				
Frutta martorana	/m/0c6gg	Italian			
Crudités	/m/07w9z5	French			
Bocadillo	/m/080b05k	Spanish Cuisine			
Taco	/m/07crc	Mexican	Tortilla		
Apache Acorn Stew w/ Dumplings	/m/0cy65yl	White Mountain Apache Tribe cuisine	Venison,Acorn		
Capirotada	/m/02q5pkp	Mexican			
Sanfaustino	/m/03cb4tb	Italian			
Jiaozi	/m/027wmf	Japanese Cuisine,Chinese			
Focaccia	/m/02w9q6	Italian	Flour,Yeast,Vegetable fats and oils,Table salt	Bread	
Spritz	/m/02q_6k_		Aperol,Prosecco,Carbonated water	Cocktail	
Kosambari	/m/027zyj0	Udupi cuisine,Indian cuisine			
Bánh da lợn	/m/02rn0hq	Vietnamese			
Walkers Shortbread	/m/02vvkvc			cookie	
Pescado frito	/m/027p4n4	Filipino			
Sadhya	/m/05w3m6	Indian cuisine			
Pelmosoda	/m/05rsbz	Italian			
Bichak	/m/056jpt5	Jewish cuisine			
Farinata	/m/04y495	Italian			
Ayza Wine and Chocolate Bar	/m/0g9n9c7	French	Rice wine	Wine	
Missouri Mule	/m/0fsn52		Campari,Applejack,Bourbon whiskey,Cointreau,Lemon juice	Cocktail	
Pastiera	/m/05_zwz	Italian			
Beef ball	/m/02vmfw8	Cuisine of Hong Kong			
Bao yu	/m/02vkzbw	Cuisine of Hong Kong	Oyster sauce		
Korma	/m/02v8tn	Turkish,Indian cuisine	Coconut milk		
Lemon & Paeroa	/m/0351c9	New Zealand cuisine			
Amaro Erbes	/m/03c8zy1	Italian			
Kaipen	/m/025zrsr				
Consommé	/m/035y9b	French			
Fried clams	/m/025syg0	Cuisine of New England	Milk,Cornmeal,Table salt,Cooking oil,Clam,Black pepper	Seafood	
Pudachi Vadi	/m/02vvpg6	Indian cuisine			
Tequila Slammer	/m/02q476		Tequila,Ginger ale,7 Up	Drink,Shooter,Cocktail	
Lai fun	/m/02z6828	Cuisine of Hong Kong			
Murabba	/m/02vt3g0	Indian cuisine			
Hyderabadi cuisine	/m/02rn07g	Indian cuisine			
Rice noodle roll	/m/02p8sg4	Cuisine of Hong Kong			
Beef Wellington	/m/02p4kj0		Beef tenderloin,Pâté,Duxelles		
Rojak	/m/022y5h	Singaporean cuisine			
Potato cake	/m/0273y64				
Tennessee cowboy	/m/02vy7xp		Red Bull,Jack Daniel's,Lemonade		
Bánh khoai mì	/m/02rn0px	Vietnamese			
Dragonfly	/m/02x9rtt		Cranberry juice,Dark Rum,Pineapple Juice	Cocktail,Drink	
Cumberland sausage	/m/02th9r	British Cuisine			
Pastel	/m/02r2r4l	Filipino			
Laurices	/m/0dkdsn				
Wanton mee	/m/0d2xmz	Cuisine of Hong Kong,Singaporean cuisine			
Kalathappam	/m/0dyh0d	Indian cuisine			
Puttu	/m/09459r	Indian cuisine			
Linguettine	/m/09ghjpb	Italian			
Chana masala	/m/08nj45	Indian cuisine			
Sfogliatelle	/m/097xx1	Italian			
Crostata	/m/0cnp1y	Italian			
Sesame Chicken	/m/0cy07_	American Chinese cuisine			
Espresso	/m/0ctfk	Italian			
Sowans	/m/0crcc4g				
Pea soup	/m/0cklk		Pea		
Eggo	/m/06qrr0			Breakfast	
Stovies	/m/06lxch	Scottish cuisine			
Zerde	/m/06w1ck7	Turkish			
Philadelphia Pepper Pot	/m/092rs1	American	Tripe		
Pastille	/m/09gnxt				
Pisca Andina	/m/066xvw				
Lokshen kugel	/m/05c0y2p				
Chicken lollipop	/m/0d88bv	Indian cuisine			
Kimchi Jeon	/m/0cxjpk	Korean			
Pinakbet	/m/0db0h_	Filipino			
Sorbetes	/m/04n1t0n	Filipino			
Caviar	/m/03f6kb	French			
Shuangbaotai	/m/03m76kr				
Royal Tru	/m/04ctjqh	Filipino			
Shmaltz Herring	/m/04fd14	Jewish cuisine	Table salt,Herring	Seafood	
Cabbage roll	/m/04dl0k	German,Jewish cuisine			
Ginger snap	/m/0151tr			cookie	
Mochi	/m/012y0l	Filipino,Japanese Cuisine			
Hamburger	/m/0cdn1	American,Barbecue	Ground beef	Convenience food	
Fish and chips	/m/0chv4	British Cuisine	Fish		
Treacle tart	/m/0cdkwh	British Cuisine			
Porridge	/m/0k0mp	Scottish cuisine		Breakfast	
Indian sweets	/m/08nc0g				
Deep fried Twinkie	/m/09lr5l		Twinkie,Oil	Street food	
Appam	/m/0946kz	Indian cuisine			
Bánh lá	/m/047ntt_	Vietnamese			
Strade dei vini e dei sapori	/m/03c3pdn	Italian			
Tataki	/m/03ccc_s	Japanese Cuisine			
Youtiao	/m/02g3g4	Singaporean cuisine,Chinese			
Asado	/m/02v46d	Filipino			
Shawarma	/m/02bbz9	Lebanese	Lamb,Beef,Chicken meat,Turkey meat,Goat meat		
Backdraft	/m/026b0vg		Drambuie,Grand Marnier,Cinnamon	Drink,Cocktail	
Eggs Benedict	/m/02fnxc		Egg,Bacon,Ham	Breakfast	
Salsa	/m/026ym7	Mexican	Tomatillo		
Chendol	/m/02ngzz	Indonesian,Sundanese cuisine			
Somay/Siomay	/m/027q9lw	Sundanese cuisine,Indonesian			
Rogan Josh	/m/02q9nc	Indian cuisine	Lamb		
Doughnut burger	/m/09gfl15		Ground meat	Sandwich	
Flamiche	/m/09gpqv1	French			
Filipino condiments	/m/0902nn	Filipino			
Tteok	/m/09tj9h	Korean	Glutinous rice		
Baked sweet potato	/m/05v687l		Sweet potato		
Tendercrisp	/m/05cmxd				
Gong	/m/05n4wcv		PAMA pomegranate flavoured liquor,Sake		
Jujube	/m/04n31s				
Chicken fingers	/m/050lqd				
Oransoda	/m/05rs7t	Italian			
Chicken cacciatore	/m/07s2tv		Chicken meat		
Piscola	/m/08rt0s		Pisco,Coca-Cola		
White Russian	/m/0859j		Vodka,Coffee liqueur,Cream	Cocktail,Drink	
Rugelach	/m/07w863	Jewish cuisine		Dessert	
Bombardino	/m/027qswh	Italian			
Spekkoek	/m/026rjfl	Indonesian			
Syrniki	/m/02cxqb				
Bigoli	/m/0263_br	Italian			
Mushimono	/m/02769gh	Japanese Cuisine			
Muffin	/m/01tcjp		Whole wheat flour	Bread	
Charales	/m/01jkd0	Mexican			
Sardenara	/m/0dbxbw	Italian			
Sabich	/m/0cnv4m	Jewish cuisine			
Olla podrida	/m/0blmsy	Spanish Cuisine			
Gai Pad Khing	/m/0d1r43	Thai	Chicken meat,Ginger		
Sungnyung	/m/0cxh61	Korean			
Hurricane	/m/08xv3y		Lime Juice,Dark Rum,Passion Fruit Syrup,White Rum		
Okazu	/m/02wwzm8	Japanese Cuisine			
Dulce de leche	/m/0347py	Mexican			
Gobchang	/m/026r6qc				
Balila	/m/0262ty0	Lebanese			
Rice and curry	/m/02slfb	Indian cuisine			
Sâm bổ lượng	/m/02rmzl7	Vietnamese			
Ketupat	/m/02hg9x	Singaporean cuisine,Indonesian,Malaysian,Filipino			
Bronx cocktail	/m/0h228t		Orange juice,Sweet Red Vermouth,Dry Vermouth,Gin	Cocktail,Drink	
Tequila Sunrise	/m/07_rcy		Orange juice,Tequila,Grenadine		
Soto ayam	/m/06n9k0	Indonesian,Singaporean cuisine	Turmeric,Chicken meat,Rice noodles		
Boil-up	/m/06p7gs	New Zealand cuisine			
Aioli	/m/0gdsj	French			
Karahi	/m/07w4fs	Indian cuisine			
Chocolate brownie	/m/02hlnc	American	Chocolate	Dessert	Alex's Scratch Brownies
Roasted pig	/m/02vmgsj	Cuisine of Hong Kong			
Piadina	/m/02w_bwr	Italian			
Hideg meggyleves	/m/02pjdbr	Hungarian			
Anpan	/m/02g1xf	Japanese Cuisine			
Saag	/m/033xk7	Indian cuisine			
Baghara baingan	/m/03csmy0	Indian cuisine			
Milk toast	/m/02z1_1				
Sugarcane juice	/m/02q6v0_	Cuisine of Hong Kong			
Blanquette de veau	/m/032j43	French			
Graham bread	/m/027cb0			Bread	
Mixed grill	/m/025v9kj				
Pap	/m/07d2xm				
Pasanda	/m/079_32	Indian cuisine			
Bistek	/m/06w675	Filipino	Onion,Sirloin steak,Soy sauce		
Salt water taffy	/m/06n2_3				
Yakiniku	/m/06sr5g	Japanese Cuisine	Tripe		
Vindaloo	/m/02f46l				
Custard pie	/m/033rdq				
Blue Lagoon	/m/02q8km4		Vodka,Lemonade,Blue Curacao		
Curry burger	/m/02r6klb				
Chinese noodles	/m/02hz3p	Chinese			
Dodol	/m/0264_72	Filipino			
Panelle	/m/02r6tfb	Italian			
Sex on the beach	/m/02rhy8s		Vodka,Orange juice,Cranberry juice,Peach schnapps		
Harrogate Nights	/m/02w_9wf		Orange juice,Vodka,Peach schnapps,Cranberry juice,Malibu Rum,Pineapple Juice		
Jallab	/m/06sp6k	Lebanese			
Labskaus	/m/07bfb3	German			
Common Ling	/m/0b_95m	Spanish Cuisine			
Kishka	/m/0b9s90	Jewish cuisine,Polish			
Kishke	/m/051x6ml	Jewish cuisine			
Clam sauce	/m/05p9jft	Italian			
Hash brown	/m/04shrv				
Breadstick	/m/03084w	Italian			
Grilled cheese sandwich	/m/030pwd				
Crisp bread	/m/02rhk6			Bread	
Toad in the hole	/m/02fvnn	British Cuisine			
Janchi guksu	/m/04cqlf9	Korean			
Jalebi	/m/04nyjg	Indian cuisine			
General Tso's chicken	/m/03nm_l	American Chinese cuisine	Chicken meat		
Hard boiled egg	/m/04llb52				
Samlar machu	/m/046x2t	Cambodian			
Calzone	/m/03cg_q	Italian			
Daifuku	/m/04l9_b	Japanese Cuisine			
Fajita	/m/01qq3s	Mexican	Tortilla,Bell pepper		
French 75	/m/01my9p		Lemon juice,Syrup,Gin,Champagne		
Angel's Tit	/m/05n6k6m		Half and half,Creme de cacao,Cherry Liqueur		
Paloma	/m/05n6hmh		Tequila,Cointreau,Grapefruit juice,Lime Juice		
Daube	/m/05p5lw	French			
Australian meat pie	/m/05czc3	New Zealand cuisine			
Chocolate Covered Peanut Butter Balls	/m/09jyws_				Chocolate Covered Peanut Butter Balls
Scialatelli	/m/09gpqg7	Italian			
Holishkes	/m/0h7nzd				
Tulumba	/m/08jfys	Turkish			
Mohinga	/m/07pj0p	Burmese		Soup	
Amaretti di Saronno	/m/09gkw_4	Italian			
Fritelli	/m/09gjskd	French			
Siu mei	/m/09ysm1	Cuisine of Hong Kong,Chinese			
Bockwurst	/m/09370d	German	Veal,Pork	Sausage	
Hot and sour soup	/m/0824x7	Filipino		Soup	
Tteok guk	/m/07hcnb	Korean			
Vodka sauce	/m/080jwwr	Italian			
Parmigiana	/m/085fdt	Italian,Apulian			
Patra	/m/0f8b3l	Indian cuisine			
Cart noodle	/m/07k5tk	Cuisine of Hong Kong			
Kugelis	/m/07lqbw	Polish	Egg,Bacon,Potato,Milk,Onion		
Picadillo	/m/0cp2jx	Mexican,Filipino			
Nước chấm	/m/0b5bxt	Vietnamese		Condiment	
Banh canh	/m/0bydkk	Vietnamese			
Lime Rickey	/m/0cf47w		Carbonated water,Gin,Vodka,Lime Juice		
Lobster sauce	/m/0gmdljw				
Quorn Oriental Broth	/m/0jx5dfh				Qorn Oriental Broth
Dakjuk	/m/0hhqh29				
Quiche	/m/01f79n	French	Flour,Egg,Crab meat,Butter,Milk		
Hayashi rice	/m/06_q8q	Japanese Cuisine			
Arroz con camarones	/m/04vx1m0	Mexican			
Whiskey sour	/m/05n80zk		Lemon juice,Egg white,Gomme syrup,Bourbon whiskey		
National Pasta Association	/m/04ybqsc	Italian			
Colorado Bulldog	/m/05n6lzv		Cream,Coca-Cola,Kahlúa,Vodka		
Black Forest gateau	/m/05bx6n	German		Dessert	
Israeli salad	/m/0d18t1	Jewish cuisine			
Green bean casserole	/m/0djhcg	American	Fried onion,Cream of mushroom soup,Green bean	Casserole,Side dish	
Pathiri	/m/0ct6nr	Indian cuisine			
Candy cane	/m/01hrm7				
Hiyayakko	/m/012xyy	Japanese Cuisine			
Wingko	/m/07jz7_	Indonesian			
Yong tau foo	/m/06hk0j	Singaporean cuisine			
Jam Roly-Poly	/m/0bg_nc				
Bubur ayam	/m/0j_68rq				
Boyoz	/m/0h1y6d	Turkish		Pastry	
Chop suey	/m/0hw1x	American Chinese cuisine			
Roti	/m/027ggs		Atta flour	Bread	
Panino	/m/03d0ts	Italian			
Ostrich fern	/m/02m16_	Japanese Cuisine			
Tim Tam	/m/02pvg3			cookie	
Vinaigrette	/m/02wz0x0		Olive oil		
Tsampa	/m/04bsrn				
Flourless chocolate cake	/m/03cpkpj		Chocolate		
Deviled egg	/m/04fp11	Italian,German,French,Hungarian	Culinary mustard,Mayonnaise,Boiled eggs	Hors d'œuvre	
Salmiakki	/m/04r_pf				
Chikuwa	/m/040l84	Japanese Cuisine			
Miso soup	/m/012xc3	Japanese Cuisine		Soup	
Bento	/m/012x5p	Japanese Cuisine			
Tzimmes	/m/045g3j	Jewish cuisine			
Basbousa	/m/03qj7cp	Turkish			
Chantilly cream	/m/043pqm	French			
Antipasto	/m/04czcym	Italian	Pepperoncini,Provolone,Salumi,Mozzarella		
Singapore style noodles	/m/047fw5r				
Roast Quail	/m/04_ht62		Quail meat		
Spumoni	/m/048b5w	Italian			
Passatelli	/m/03hm0hs	Italian			
Dahi vada	/m/045qt3	Indian cuisine			
Bai cha	/m/043q63t	Cambodian			
Y Fenni	/m/05gxds	Welsh cuisine			
Nixon	/m/05n7_r0		Peach bitters,Bourbon whiskey,Sloe gin		
Farfel	/m/04v925	Italian,Jewish cuisine			
Flaming Sambuca	/m/05n93c2		Sambuca	Cocktail,Drink,Shooter	
Kori Rotti	/m/027rm8q	Indian cuisine			
Rollatini	/m/027r9r9	Italian			
Cherry pie	/m/025tqsx				
Jin deui	/m/02q6z0x	Cuisine of Hong Kong			
Dal	/m/017z4t	Indian cuisine	Lentil		
Smoked salmon	/m/01hklv	Scottish cuisine			
Fried eggplant	/m/0bbx1p	Lebanese,Turkish			
Palak Paneer	/m/087b5r				
Garlic bread	/m/08nk6x	Italian			
Wiener schnitzel	/m/03xbgv	Jewish cuisine,German			
Obatzda	/m/03vj6r	German			
Garbure	/m/04jmyrb	French			
Banana bread	/m/04cym9		Banana		
Marie biscuit	/m/03cwlqd	Spanish Cuisine			
Hiyashi chuka	/m/0463z5r	Japanese Cuisine			
Hamburger Helper	/m/04535f	Italian			
Aloo Tama	/m/049xflm	Nepalese cuisine	Black-eyed pea,Potato,Tomato,Bamboo shoot	Soup	
Pickled pigs feet	/m/0458f9	German			
Biscuit roll	/m/043nmvd	Cuisine of Hong Kong			
Cha Siu Baau	/m/09zzf2	Cuisine of Hong Kong			
Butterbrot	/m/0b4_ct	German			
Sauce ravigote	/m/0bw3kk	French			
Caipirinha	/m/0207sy		Muscovado,Lime,Cachaça		
Kofte Kebab	/m/0cmdx7	Turkish			
Coyotas	/m/05gkmz	Mexican			
Minted peas	/m/05v684b		Pea		
Barbacoa	/m/068dr1	Mexican			
Polkagris	/m/05n024z				
Agua loca	/m/05n923x		Horchata,Sugarcane,Tequila,Aguas frescas,Mezcal		
Curry chicken noodles	/m/0fh90p	Singaporean cuisine			
Satan's Whiskers	/m/0gt68f		Curaçao liqueur,Sweet Vermouth,Orange juice,Dry Vermouth,Orange bitters,Grand Marnier,Gin	Cocktail	
Stasulli	/m/0fr_9g	Italian			
Ceviche	/m/0j8k6	Mexican			
Sesbania grandiflora	/m/0b3dqw	Filipino			
Oshiruko	/m/0132v0	Japanese Cuisine			
Lasagna	/m/011jxn	Italian			
Mulled wine	/m/01662y		Clove		
Kofta	/m/08myc3	Armenian,Indian cuisine,Lebanese			
Mukhwas	/m/09t6yz	Indian cuisine			
Cauliflower cheese	/m/0h7smk	British Cuisine			
Sugar pie	/m/0gmg0c	French			
Tonburi	/m/0h72p5	Japanese Cuisine			
Cotoletta	/m/0gs1r9	Italian			
Sole meunière	/m/0f2lgf		Fish		
Pad see ew	/m/0dl1v4	Thai			
Apple dumpling	/m/0dk0r5		Apple		
Red velvet cake	/m/0425l8				
Cassolette	/m/04gn0sr	French			
Beyaz peynir	/m/0463_qk	Turkish			
Pecan log roll	/m/03d3zny				
Roast Pheasant	/m/04_hsnw				
Grits	/m/03bmz				
Champon	/m/040_td	Japanese Cuisine			
Mille-feuille	/m/043jgq	French			
Fleischnacka	/m/0465f95	French,German			
Steak and kidney pie	/m/03jpk2	British Cuisine			
Fruit sours	/m/049nty				
Cappuccino	/m/09702	Italian			
Shafvka	/m/09g9r_k	Turkish			
Okara	/m/097vqt	Japanese Cuisine			
Chilli crab	/m/092ldk	Singaporean cuisine			
Irish coffee	/m/024rf7		Irish whiskey,Coffee,Cream,Brown sugar		
Waldorf salad	/m/01c5nc	American	Celery,Mayonnaise,Apple,Walnut	Salad	
Borscht	/m/01fs6v	Polish,Jewish cuisine			
Ganmodoki	/m/0gwfl6	Japanese Cuisine			
BK Chicken Fries	/m/0gyf6q				
Head cheese	/m/0l_sx	Scottish cuisine			
