name	id	cuisine	ingredients	type_of_dish1	recipes
Prodotto agroalimentare tradizionale	/m/0523wqd	Italian			
Tapenade	/m/0658q_	French			
Gemlik olive	/m/05q4dz8	Turkish			
Pasta with pancetta	/m/05sqq61	Italian	Pancetta,Pasta	Pasta dish	
Embutido	/m/09dxr0	Filipino			
Moffat Toffee	/m/0fctqx	Scottish cuisine			
Chile Relleno	/m/0410ztm	Mexican			
Mosselen met friet	/m/04_ktdk		Mussel		
Haggis	/m/03q8g	Scottish cuisine	Domestic sheep		
Oille	/m/04jbz1h	French			
Pistachio salad	/m/04zwl_k	Cuisine of the Midwestern United States		Dessert Salad	
Batida	/m/05n1hzw		Fruit juice,Cachaça,Sugar,Coconut milk		
Smoothie	/m/058hry		Fruit juice,Crushed ice,Fruit	Drink	
Mudslide	/m/05n7nmg		Irish Cream,Cream,Kahlúa,Malibu Rum		
Madeleine	/m/04k91v	French			
Pashti	/m/03hlzf2	Indian cuisine			
Chạo tôm	/m/03hh08l	Vietnamese			
Hayride	/m/03cspp_		Triple sec,Cognac,Lemon juice		
Blueberry pie	/m/0dv27g		Flour,Sugar,Blueberry,Shortening		
Cha-lua	/m/0d_90l	Vietnamese			
spanish omlette	/m/0dc61cw	Spanish Cuisine	Egg	Spanish Cuisine	
Kefir	/m/0lz7j	Armenian			
Dango	/m/012xv6	Japanese Cuisine			
Fried egg	/m/01r22b			Breakfast	
Lemon drop	/m/0gz9tt				
Rajas con crema	/m/08698t	Mexican			
Dhaba	/m/05svmf	Indian cuisine			
Crab rangoon	/m/064b8z				
Gin Fizz	/m/05n1l9l		Gin,Lemon juice,Soda water,Gomme syrup	Cocktail	
Cepelinai	/m/0621bq	Polish			
Bloody Aztec	/m/05n5t9n		Red Food Coloring,Tequila,Cream,Creme de cacao		
Muffuletta	/m/0502pq	Italian			
Haw flakes	/m/05xhgh	Cuisine of Hong Kong			
Instant Quaker Oatmeal	/m/0fclq7				
Mangalore Bajji	/m/080jf8	Udupi cuisine,Indian cuisine			
Giardiniera	/m/0bcq_3	Italian			
Teiglach	/m/0c2kb9	Jewish cuisine			
Sticky toffee pudding	/m/08k870	British Cuisine			
Bottarga	/m/07ztg0	Italian			
Cassata	/m/08qpj0	Italian			
Misri	/m/080px2t				
Scone	/m/01pmj8	Scottish cuisine	Odium's Irish cream flour		
Cemita	/m/0gmf8q	Mexican			
Gelbwurst	/m/08gzhm	German	Nutmeg,Pork,Veal,Ginger	Sausage	
Gujeolpan	/m/0861ty	Korean			
Financier	/m/07zw4b			Teacake,Cake	
Sausage gravy	/m/0824hp				
Delmonico steak	/m/08jj0f			Steak	
Chocolate-coated raisin	/m/07wpy8				
Scotch broth	/m/0ckl6	Scottish cuisine	Rutabaga,Beef,Barley,Carrot	Soup	
Kogel mogel	/m/0dgvd_				
Birria	/m/0c_f28	Mexican			
Sherbet	/m/04y9npb				
Liptauer	/m/0567vq	Hungarian			
Corn N' Oil	/m/04zxmhq		Cruzan Rum,Falernum		
Réveillon	/m/04pv7w	French			
Pot pie	/m/05j5g_				
Panama	/m/05n1h33		Cognac,Cream,Creme de cacao		
Bundz	/m/07m6lq	Polish			
Rillettes	/m/032b9y	French			
Yaki udon	/m/026c52y	Japanese Cuisine			
Suman	/m/02rdmj2	Filipino			
Kushikatsu	/m/02qf0bv	Japanese Cuisine			
Pantua	/m/02qyrtb	Indian cuisine			
Urfa Biber	/m/03d1yz0	Turkish			
Janggukjuk	/m/0hnb4qy				
Pulled pork	/m/0cjtln	Southern United States,Mexican,Barbecue	Boston butt	Smoked meat	
Chakna	/m/0b55j5	Indian cuisine	Tripe		
