name	id	manufacturer	sold_in	introduced
Cadbury's Creme Egg	/m/03ywjz	Cadbury	United Kingdom,United States of America	1923
Galaxy	/m/03rjpm	Mars, Incorporated	United Kingdom	
Peanut Chews	/m/0d1dw0	Goldenberg Candy Company	United States of America	1917
Flyte	/m/0284r5q	Mars, Incorporated	United States of America	
Coffee Crisp	/m/05g9dk	Nestlé	Canada	1938
Picnic	/m/068_cm	Cadbury	Australia,United Kingdom,New Zealand	1958
Ritter Sport	/m/04t660	Alfred Ritter GmbH & Co. KG	Germany,United States of America	1932
Dubble	/m/05j35z	Divine Chocolate Company	United Kingdom	2000
Brunch Bar	/m/08d5yq			
Curly Wurly	/m/0497nh	Cadbury	United Kingdom,Germany,Australia	1971
Bertie Beetle	/m/09h6f_	Nestlé	Australia	1963
Bounty	/m/0332d8	Mars, Incorporated		
Wonka Bar	/m/06bqbg	Nestlé	United States of America	
Blue Riband	/m/043s2qc			
Cherry Blossom	/m/09n47t	The Hershey Company	Canada	
Hershey bar	/m/06w0wg	The Hershey Company	United States of America	1894
Zagnut	/m/05hd1m	The Hershey Company	United States of America	1930
Mounds	/m/081b5l	The Hershey Company	United States of America	1920
Crunchie	/m/04y057	Cadbury	United Kingdom	1929
GooGoo Cluster	/m/0dtkd4	Standard Candy Company	United States of America	1912
Hershey's Snack Barz	/m/0cvjcv	The Hershey Company	United States of America	2004
Aero	/m/04j6rh	Nestlé	Canada,Australia,United Kingdom	1935
U-No Bar	/m/02r4fth	Annabelle Candy Company		
Butterfinger	/m/03wkn5	Nestlé	United States of America	1923
Cadbury's Fudge	/m/092d5y	Cadbury	Ireland,United Kingdom	1948
Mary Jane	/m/03c30q5	NECCO		
Nut Goodie	/m/0d9gh2	Pearson's Candy Company	United States of America	1912
Crachi	/m/046443h			
Mekupelet	/m/05t0g5z			
100 Grand Bar	/m/05m57t	Nestlé	United States of America	1966
Snickers Marathon	/m/04y5kpr			
