name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Schneider & Sohn Aventinus	/m/04dqcj6			8.0					G. Schneider & Sohn		Germany	/m/04dr3k0
de Smedt Postel Dobbel	/m/04dqrmj			7.0					de Smedt		Belgium	/m/04dr1fc
Nethergate Augustinian	/m/04dqq4h			4.8					Nethergate brewery		United Kingdom	/m/04dr2h_
Gastown Amber Ale	/m/05khjx_	Amber ale		5.5					Granville Island Brewing			
J.W. Lees Cask Bitter	/m/0dlfhw7	Bitter		4.0					JW Lees			
Midland Red Keg Amber	/m/0n4y43x								Midland Brewing Company			
Dock Street Amber	/m/02hv3f8	American Amber Ale										
Yuengling Traditional Amber Lager	/m/0290kgx	Amber Lager,Dark American Lager	1829	4.4					D. G. Yuengling & Son		United States of America	
Grolsch	/m/02nvpkg	Lager	1615	5.0					Grolsch Brewery		Netherlands	
Blue Moon	/m/0953kf											
Ghisa	/m/05ndq3s	Stout	1996	5.0					Birrificio Lambrate		Italy	
Jolly Pumpkin Bam Noire	/m/0lywm60								Jolly Pumpkin Artisan Ales			
Purple Gang Pilsner	/m/0lywwf4											
Atwater Shaman's Porter	/m/0lywwml								Atwater Brewery			
33 Export	/m/0bgcfph										Cameroon	
Southern Bay Brewing Co Platinum Premium Lager	/m/04dqmx_			4.9					Southern Bay Brewing Co		Australia	/m/04dqy3c
Teme Valley This	/m/04dqkn4			3.7					Teme Valley		United Kingdom	/m/04dr0jr
Schlossbrauerei Kaltenberg Hell	/m/04dqqbv			5.1					Schlossbrauerei Kaltenberg		Germany	/m/04dqyb7
Kronenbourg Blanc	/m/04dqrxq			5.0					Kronenbourg		France	/m/04dr3md
Velké Popovicke Kozel Premium Czech Lager	/m/04dq9cz			5.0					Velké Popovicke		Czech Republic	/m/04dr72v
Tomintoul Wildcat	/m/04dq9t2			5.1					Tomintoul		United Kingdom	/m/04dqyt7
Amstel Gold	/m/04dqwjn			7.0					Amstel		Netherlands	/m/04dqxy7
Daleside Brewery Old Legover Country Stile	/m/04dqfty			4.1					Daleside Brewery		United Kingdom	/m/04dr5hq
Cuauhtemoc Moctezuma Sol	/m/04dqwgp			4.5					Cuauhtémoc Moctezuma Brewery		Mexico	/m/04dr6l6
ZeroDegrees Reading Apple and Cinnamon Wheat Ale	/m/04dq9xl			4.6					ZeroDegrees Reading		United Kingdom	/m/04dqy3r
Palmers Traditional India Pale Ale	/m/04dqdlk			4.2					Palmers		United Kingdom	/m/04dr2sm
Moortgat Vedett	/m/04dqc_j			5.0					Moortgat		Belgium	/m/04dq_y3
Shepherd Neame Late Red	/m/04dqrw5			4.5					Shepherd Neame		United Kingdom	/m/04dr501
Integrated Bottling Solutions Old Slap & Tickle	/m/04dqcvy			4.0					Integrated Bottling Solutions		United Kingdom	/m/04dr1kw
J.W. Lees Moonraker Winter Ale	/m/04dqwf4			7.5					JW Lees		United Kingdom	/m/04dq_s7
Goose Island IPA	/m/04dqsyz			5.9					Goose Island Brewery		United States of America	/m/04dr1c7
Full Sail Wassail	/m/04dqkrn			6.5					Full Sail Brewing Company		United States of America	/m/04dqzvc
Wellpark (Interbrew) Tennents Super	/m/04dqm60			9.0					Wellpark (Interbrew)		United Kingdom	/m/04dr4hd
Goose Island Honkers Ale	/m/04dqdh1			4.7					Goose Island Brewery		United States of America	/m/04dqyr7
Obolon Magnat Light Beer	/m/04dqs0n			5.3					Obolon CJSC		Ukraine	/m/04dr62b
Labatt Brewing Co. Bleue Dry	/m/04dqd_7			6.1					Labatt Brewing Company		Canada	/m/04dr3ps
Flensburger Pilsener	/m/04dqhtn			4.9					Flensburger		Germany	/m/04dr2gr
East European Trade Rasputin	/m/04dqjd0			5.0					East European Trade		Russia	/m/04dr34w,/m/04dr6kz
Oddbins BCA	/m/04dqq9r			4.5					Oddbins		United Kingdom	/m/04dr327
RCH Brewery Firebox Premium Bitter	/m/04dqp11			6.0					RCH Brewery		United Kingdom	/m/04dqxyc
Schlossbrauerei Kaltenberg König Ludwig Weissbier	/m/04dqsnb			5.5					Schlossbrauerei Kaltenberg		Germany	/m/04dr5mv
Liefmans Kriekbier	/m/04dqqwg			6.0					Liefmans		Belgium	/m/04dr4sk
Ascot Ales Posh Pooch	/m/04dqm7k			4.2					Ascot Ales		United Kingdom	/m/04dqzhm
Chiltern Brewery Golden Sovereign Jubilee Ale	/m/04dqb7z			3.7					Chiltern Brewery		United Kingdom	/m/04dr11h
Brasserie Jeanne d'Arc Belzebuth	/m/04dq94z			15.0					Brasserie Jeanne d'Arc		France	/m/04dqzq_
Licher Pilsner	/m/04dqm03		1858	4.9					Licher Privatbrauerei		Germany	/m/04dr41d,/m/0d50bkg
Molson Dry	/m/04dqwc5			5.5					Molson		Canada	/m/04dr46s
Küppers Kölsch	/m/04dqvff			4.8					Küppers		Germany	/m/04dr5kv
Sudbrack Blumenau Eisenbahn PaleAle	/m/04dqjtb			4.8					Sudbrack Blumenau		Brazil	/m/04dqydh
Courage Barclays Imperial Russian Stout 1983	/m/04dqhks			9.5					Courage		United Kingdom	/m/04dr6jq
Greene King The Beer To Dine for	/m/04dqhj7			5.0					Greene King Brewery		United Kingdom	/m/04dr23w
Cottage Brewing Company Golden Arrow	/m/04dqhby			4.5					Cottage Brewing Company		United Kingdom	/m/04dr2x7
Brouwerij de Oranjeboom Oranjeboom	/m/04dqh9v			5.0					Oranjeboom Brewery		Netherlands	/m/04dr4h0
Belhaven 60/- Pale Ale	/m/04dqg71			3.0					Belhaven Brewery		United Kingdom	/m/04dr2d7
Oxford Black	/m/03m2nnp											
Young's First Gold	/m/04dqcsz			4.0					Young's Brewery		United Kingdom	/m/04dr76b
Jennings 175	/m/04dqbrq			5.5					Jennings		United Kingdom	/m/04dr2vh
Shepherd Neame Goldings	/m/04dqtfq			4.7					Shepherd Neame		United Kingdom	/m/04dr0qr
Durham Brewery Black Bishop	/m/04dqbq5			5.5					Durham Brewery		United Kingdom	/m/04dr4tt
Shaftebury Brewing Company Rainforest Amber Ale	/m/04dqrt6			5.0					Shaftebury Brewing Company		Canada	/m/04dr15m
Cooper's Regency Draught	/m/042zbl_								Coopers Brewery			
Tooheys Blue	/m/046vyt6								Tooheys			
Dent Ramsbottom Strong Ale	/m/04dqq86			4.5					Dent		United Kingdom	/m/04dqy8h
Rodenbach Klassic	/m/04dqwdq			5.0					Rodenbach		Belgium	/m/04dr4s1
Big Sky Brewing Moose Drool	/m/04dqq3v			5.3					Big Sky Brewing		United States of America	/m/04dr5s6
Steinlager	/m/06nzyl	Lager	1957	5.0								
Royal Oak Count Zaroff's Russian Imperial Stout	/m/0n1vlpv								The Royal Oak Brewery			
Atwater VJ Black	/m/0lywwlv			11.0			24.0		Atwater Brewery			
B. Nektar Orange Blossom Mead	/m/0n4xy86								B. Nektar Meadery			
Bath Ales Dark Hare	/m/0bhj2mf	Stout		4.0					Bath Ales			
Coopers Brewery Thomas Cooper's Finest Export	/m/04dqcbr			4.9					Coopers Brewery		Australia	/m/04dq_ym
Hook Norton Steam Beer	/m/04dqltb			4.4					/m/04drbw8		United Kingdom	/m/04dr0b_
Les 3 Brasseurs Blanche	/m/04dqdt3			4.7					Les 3 Brasseurs		France	/m/04dr6vb
Daleside Brewery Monkey Wrench Strong Ale	/m/04dqmk5			5.3					Daleside Brewery		United Kingdom	/m/04dqxjc
Innis & Gunn Limited Edition 2006	/m/04dqdxm			7.2					Innis and Gunn		United Kingdom	/m/04dr746
Charles Wells Bombardier English Premium Ale	/m/04dqmlq			5.5					Charles Wells		United Kingdom	/m/04dqzyr
